anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.07692307692307693
0.0037313432835820895,0.011194029850746268,0.0037313432835820895,0.011194029850746268,0.0037313432835820895,0.011194029850746268,0.011194029850746268,0.018656716417910446,0.05223880597014925,0.041044776119402986
0.0,0.01639344262295082,0.0,0.01639344262295082,0.0,0.03278688524590164,0.01639344262295082,0.0,0.04918032786885246,0.04918032786885246
0.012658227848101266,0.02531645569620253,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.02531645569620253,0.0379746835443038,0.0379746835443038
0.018018018018018018,0.036036036036036036,0.013513513513513514,0.018018018018018018,0.036036036036036036,0.018018018018018018,0.03153153153153153,0.04954954954954955,0.08108108108108109,0.02252252252252252
0.007246376811594203,0.014492753623188406,0.0,0.014492753623188406,0.028985507246376812,0.0,0.007246376811594203,0.014492753623188406,0.057971014492753624,0.021739130434782608
0.006711409395973154,0.013422818791946308,0.006711409395973154,0.020134228187919462,0.020134228187919462,0.020134228187919462,0.013422818791946308,0.020134228187919462,0.04697986577181208,0.026845637583892617
0.0,0.02158273381294964,0.0,0.014388489208633094,0.0,0.0,0.0,0.02877697841726619,0.05755395683453238,0.007194244604316547
0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.007194244604316547,0.0,0.02158273381294964,0.007194244604316547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014084507042253521,0.014084507042253521,0.0,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.0,0.028169014084507043,0.04225352112676056
0.018867924528301886,0.018867924528301886,0.014150943396226415,0.018867924528301886,0.014150943396226415,0.009433962264150943,0.0,0.02830188679245283,0.02358490566037736,0.03773584905660377
0.0,0.10344827586206896,0.0,0.034482758620689655,0.10344827586206896,0.0,0.06896551724137931,0.10344827586206896,0.13793103448275862,0.0
0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0
0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.00980392156862745,0.0392156862745098,0.029411764705882353,0.00980392156862745
0.02040816326530612,0.027210884353741496,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.006802721088435374,0.027210884353741496,0.027210884353741496,0.034013605442176874
